guid,title,pubDate,description,link,media
b'https://www.hindustantimes.com/india-news/britain-to-get-consular-access-to-agustawestland-accused-christian-michel/story-3XiY85WyAe4or16kMEUskN.html',b'Britain&thinsp;to get consular access to Christian Michel soon',"b'Thu, 06 Dec 2018 07:35:32 GMT '","b'Christian Michel, 57, arrived in New Delhi shortly before midnight on Tuesday following his extradition from the United Arab Emirates. '",b'https://www.hindustantimes.com/india-news/britain-to-get-consular-access-to-agustawestland-accused-christian-michel/story-3XiY85WyAe4or16kMEUskN.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/12/07/Pictures/_82d1e952-f98b-11e8-9d17-a8cab32bfcb1.jpg
b'https://www.hindustantimes.com/lucknow/in-bulandshahr-violence-that-killed-2-top-cop-says-cow-slaughter-key-issue/story-F0PDrwlcCWqXBdZ6Z8opmL.html',"b'In Bulandshahr violence that killed 2, top cop says cow slaughter key issue'","b'Thu, 06 Dec 2018 07:11:22 GMT '",b'Uttar Pradesh chief minister Yogi Adityanath on Thursday assured the family of a police inspector killed in mob violence in Bulandshahr that the guilty would not be spared. ',b'https://www.hindustantimes.com/lucknow/in-bulandshahr-violence-that-killed-2-top-cop-says-cow-slaughter-key-issue/story-F0PDrwlcCWqXBdZ6Z8opmL.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/12/07/Pictures/tribute-to-slain-inspector-subodh-singh_52d147cc-f989-11e8-9d17-a8cab32bfcb1.jpg
b'https://www.hindustantimes.com/india-news/singer-mika-singh-arrested-in-uae-over-sexual-harassment-charges-reports/story-HvIvcdC0zLasCZUsrYoNUI.html',b'Singer Mika Singh detained in UAE&thinsp;over sexual harassment charges:&thinsp;Report',"b'Thu, 06 Dec 2018 07:11:16 GMT '",b'Singer Mika Singh has been detained in United Arab Emirates on a sexual harassment complaint. He is being questioned by the police.',b'https://www.hindustantimes.com/india-news/singer-mika-singh-arrested-in-uae-over-sexual-harassment-charges-reports/story-HvIvcdC0zLasCZUsrYoNUI.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/12/06/Pictures/india-today-safaigiri-awards_11fb4874-f975-11e8-8517-d4eac9e93309.jpg
b'https://www.hindustantimes.com/india-news/pakistan-attempted-to-politicise-religious-issue-says-mea-on-kartarpur/story-HVHzftpVvM8zsBMblNFkLM.html',"b'Pakistan attempted to politicise religious issue, says MEA on Kartarpur'","b'Thu, 06 Dec 2018 06:31:52 GMT '",b'The MEA\xe2\x80\x89asserted that Pakistan has \xe2\x80\x9cattempted to politicise a religious issue related to the sentiments of the Sikh community.\xe2\x80\x9d',b'https://www.hindustantimes.com/india-news/pakistan-attempted-to-politicise-religious-issue-says-mea-on-kartarpur/story-HVHzftpVvM8zsBMblNFkLM.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/12/06/Pictures/pakistan-india-diplomacy-religion-sikh_83c5750e-f972-11e8-9d17-a8cab32bfcb1.jpg
b'https://www.hindustantimes.com/india-news/former-j-k-finance-minister-haseeb-drabu-resigns-from-pdp/story-5c8EaAdgUQwJCDwKamtu7K.html',b'Former J-K&thinsp;finance minister Haseeb Drabu resigns from PDP',"b'Thu, 06 Dec 2018 02:58:06 GMT '","b'Tweeting his resignation letter addressed to party chief Mehbooba Mufti, Drabu said he has been distancing himself from party affairs for some time.'",b'https://www.hindustantimes.com/india-news/former-j-k-finance-minister-haseeb-drabu-resigns-from-pdp/story-5c8EaAdgUQwJCDwKamtu7K.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/12/06/Pictures/haseeb-drabu-to-present-budget-2018-2019_c120eaba-f962-11e8-9d17-a8cab32bfcb1.jpg
b'https://www.hindustantimes.com/india-news/west-bengal-govt-tells-court-it-won-t-give-permission-to-bjp-rath-yatra/story-54SCre1L8eDlfZGx6umn1I.html',"b""Red flag for Amit Shah's Bengal rath yatra from court, upset BJP to appeal""","b'Thu, 06 Dec 2018 01:07:27 GMT '","b'The Calcutta High Court ordered that the BJP\xe2\x80\x99s West Bengal rath yatra cannot take place till the next date of hearing, January 9, when it would consider reports from the 24 districts through which the rally was to pass.'",b'https://www.hindustantimes.com/india-news/west-bengal-govt-tells-court-it-won-t-give-permission-to-bjp-rath-yatra/story-54SCre1L8eDlfZGx6umn1I.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/12/06/Pictures/amit-shah-in-indore_88ea63a8-f94c-11e8-9d17-a8cab32bfcb1.jpg
b'https://www.hindustantimes.com/india-news/congress-rattled-bjp-s-fresh-salvo-on-party-lawyers-appearing-for-christian-michel/story-5sOozSPTwAnFlTyAZZeJaN.html',"b""Congress trying to save 'mama Michel': BJP launches new attack over VVIP chopper...""","b'Thu, 06 Dec 2018 12:34:05 GMT '","b'A day after Prime Minister Narendra Modi brought up alleged AgustaWestland chopper deal middleman Christian James Michel\xe2\x80\x99s extradition at a poll rally to target the Congress, BJP spokesman Sambit Patra raised the political affiliation of the lawyers defending the British businessman.'",b'https://www.hindustantimes.com/india-news/congress-rattled-bjp-s-fresh-salvo-on-party-lawyers-appearing-for-christian-michel/story-5sOozSPTwAnFlTyAZZeJaN.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/12/06/Pictures/christian-helicopter-middleman-westland-pictured-abortive-alleged_c464fce6-f93c-11e8-8517-d4eac9e93309.jpg
b'https://www.hindustantimes.com/editorials/turn-the-h-1b-rule-tweaks-into-an-opportunity/story-bbVCSizN4Mu5quMB0qYARM.html',b'Turn the H-1B rule tweaks into an opportunity',"b'Thu, 06 Dec 2018 12:14:16 GMT '",b'The recent change in the visa regime will give an edge to applicants with degrees from US institutions and make it a little more difficult for Indian outsourcing firms to hire from overseas',b'https://www.hindustantimes.com/editorials/turn-the-h-1b-rule-tweaks-into-an-opportunity/story-bbVCSizN4Mu5quMB0qYARM.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/01/05/Pictures/president-trump-visits-snap-kenosha-tools-wisconsin_efe678c0-f1fb-11e7-9b6a-9c455a15825b.jpg
b'https://www.hindustantimes.com/editorials/viability-not-production-growth-is-the-biggest-crisis-facing-the-indian-farmer/story-bLNuAqLWwTAe67j5hZML2H.html',"b'Viability, not production growth, is the biggest crisis facing farmers'","b'Thu, 06 Dec 2018 11:57:42 GMT '","b'Price crashes lead to a decline in cultivation of a crop in the next season, this leads to a spike in prices leading to increase in cultivation in the next season. It could be a good idea to educate farmers about rationalising their expectations and hence future cultivation decisions in periods of scarcity.'",b'https://www.hindustantimes.com/editorials/viability-not-production-growth-is-the-biggest-crisis-facing-the-indian-farmer/story-bLNuAqLWwTAe67j5hZML2H.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/12/03/Pictures/amritsar-kathunangal-hindustan-november-mustard-amritsar-wednesday_be8fa196-f706-11e8-b0ae-a79201e85078.jpg
b'https://www.hindustantimes.com/columns/2018-assembly-elections-can-the-congress-rise-up-again/story-NW0pE3ZR04sgvmsTtYMaAM.html',b'Why 2018 is critical for the Congress',"b'Thu, 06 Dec 2018 11:53:38 GMT '","b'The recent assembly elections offer the Congress its best, and last chance, to build some momentum heading into the 2019 elections. If the Congress is unable to win atleast two major states, it stares at the real prospect of being a totally deflated army heading into the national polls'",b'https://www.hindustantimes.com/columns/2018-assembly-elections-can-the-congress-rise-up-again/story-NW0pE3ZR04sgvmsTtYMaAM.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/12/05/Pictures/congress-election-rally-in-alwar_87c9974e-f890-11e8-8517-d4eac9e93309.jpg
b'https://www.hindustantimes.com/delhi-news/class-7-student-commits-suicide-family-says-teacher-scolded-her/story-hyRtd3kKnONw2NeJAUfI3N.html',"b'Mama, I love you: 12-year-old scribbled on palm before suicide, teacher blamed'","b'Thu, 06 Dec 2018 09:50:19 GMT '","b'Around 4 pm, when the mother returned, she discovered her daughter\xe2\x80\x99s lifeless body, a police officer said. A suicide note was also recovered. '",b'https://www.hindustantimes.com/delhi-news/class-7-student-commits-suicide-family-says-teacher-scolded-her/story-hyRtd3kKnONw2NeJAUfI3N.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/12/06/Pictures/have-hindu-suicide-muzaffarnagar-committed-muslim-girl_5405dca2-f920-11e8-8517-d4eac9e93309.jpg
b'https://www.hindustantimes.com/editorials/why-team-india-can-gain-redemption-down-under/story-14zfjoHz0hJRH0fDJLwNuO.html',b'Why Team India can gain redemption Down Under',"b'Wed, 05 Dec 2018 01:17:15 GMT '",b'This is not the rampant Australia of Steve Waugh and Ricky Ponting. Now is the best time to beat them in their backyard.',b'https://www.hindustantimes.com/editorials/why-team-india-can-gain-redemption-down-under/story-14zfjoHz0hJRH0fDJLwNuO.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/12/05/Pictures/virhat-kohli_ce825672-f83f-11e8-b0ae-a79201e85078.jpg
b'https://www.hindustantimes.com/editorials/the-killing-of-the-up-inspector-points-towards-an-institutional-crisis/story-nhp9xKeXI3aHSzXNEcBoMJ.html',b'The killing of the UP inspector points towards an institutional crisis',"b'Wed, 05 Dec 2018 08:28:24 GMT '","b'Ensuring that the killers of the police officer are brought to book is the responsibility of the state\xe2\x80\x99s criminal justice system. As far as other law and order-related issues are concerned, the buck stops with none other than Yogi Adityanath, who heads the executive in Uttar Pradesh.'",b'https://www.hindustantimes.com/editorials/the-killing-of-the-up-inspector-points-towards-an-institutional-crisis/story-nhp9xKeXI3aHSzXNEcBoMJ.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/12/05/Pictures/violence-in-bulandshahr-over-cow-slaughter_fd145538-f82d-11e8-9d17-a8cab32bfcb1.jpg
b'https://www.hindustantimes.com/columns/use-mobiles-to-improve-governance/story-hgOmmCsSih7k01cW1vyF8L.html',b'Use mobiles to improve governance',"b'Wed, 05 Dec 2018 05:36:05 GMT '",b'India is already a leader in providing call centre services for the world. Why not leverage this powerful tool to improve governance at home?',b'https://www.hindustantimes.com/columns/use-mobiles-to-improve-governance/story-hgOmmCsSih7k01cW1vyF8L.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/12/05/Pictures/_990b4624-f84f-11e8-8517-d4eac9e93309.jpg
b'https://www.hindustantimes.com/analysis/to-protect-our-future-new-infrastructure-must-be-low-carbon/story-hxjIwWDu7TuH3IrVgFsdKM.html',"b'To protect our future, new infrastructure must be low-carbon'","b'Tue, 04 Dec 2018 01:08:03 GMT '",b'Governments and international institutions must help companies and cities accelerate this green transition ',b'https://www.hindustantimes.com/analysis/to-protect-our-future-new-infrastructure-must-be-low-carbon/story-hxjIwWDu7TuH3IrVgFsdKM.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2018/11/30/Pictures/authorities-infrastructure-allocated-hindustan-transport-commuters-authority_4316d570-f49f-11e8-8694-11c39b8de84b.jpg
